ts_code,open,high,low,close,change,pct_chg,amount
000001.SZ,23.87,24.23,22.9,22.94,-0.35,-1.5028,2037109.597
000002.SZ,28.0,28.2,27.6,27.7,-0.39,-1.3884,2389022.461
000004.SZ,18.61,18.61,18.04,18.16,-0.48,-2.5751,48243.036
000005.SZ,2.28,2.33,2.26,2.31,0.02,0.8734,19225.613
000006.SZ,5.39,5.43,5.31,5.33,-0.04,-0.7449,62600.444
000007.SZ,3.75,3.9,3.75,3.86,0.13,3.4853,54708.546
000008.SZ,2.27,2.28,2.24,2.25,-0.03,-1.3158,28708.087
000009.SZ,10.45,10.74,10.35,10.44,-0.06,-0.5714,598909.006
000010.SZ,4.24,4.4,4.24,4.4,0.02,0.4566,73071.87
000011.SZ,13.15,13.63,13.05,13.09,0.04,0.3065,129869.589
000012.SZ,8.29,8.67,8.12,8.53,0.36,4.4064,740830.804
000014.SZ,8.41,8.74,8.34,8.44,-0.01,-0.1183,51416.76
000016.SZ,6.29,6.35,6.2,6.2,-0.09,-1.4308,91313.054
000017.SZ,2.84,2.87,2.78,2.78,-0.07,-2.4561,6308.653
000019.SZ,7.06,7.35,7.06,7.1,0.07,0.9957,45225.821
000020.SZ,9.25,9.3,9.17,9.17,-0.09,-0.9719,7551.893
000021.SZ,18.62,18.96,18.6,18.68,0.13,0.7008,387152.219
000023.SZ,15.85,15.92,15.66,15.79,-0.07,-0.4414,2350.539
000025.SZ,14.79,14.9,14.79,14.82,0.04,0.2706,18619.578
000026.SZ,16.69,16.69,15.97,16.06,-0.43,-2.6076,97248.002
000027.SZ,8.91,9.11,8.8,8.91,-0.13,-1.4381,709476.648
000028.SZ,43.8,43.8,42.11,42.24,-1.61,-3.6716,271372.897
000029.SZ,7.56,7.58,7.37,7.41,-0.14,-1.8543,29794.669
000030.SZ,7.48,7.51,7.22,7.27,-0.14,-1.8893,43729.704
000031.SZ,3.81,3.84,3.78,3.8,-0.02,-0.5236,12880.751
000032.SZ,20.37,20.5,19.9,19.99,-0.37,-1.8173,32702.199
000034.SZ,17.4,17.46,17.22,17.25,-0.09,-0.519,107082.719
000035.SZ,4.26,4.26,4.22,4.24,-0.02,-0.4695,19965.092
000036.SZ,3.81,3.83,3.78,3.79,-0.02,-0.5249,11184.242
000037.SZ,8.26,8.37,8.2,8.25,-0.02,-0.2418,30539.322
000038.SZ,11.54,11.88,11.43,11.57,0.02,0.1732,76987.957
000039.SZ,15.81,16.16,15.74,15.81,0.05,0.3173,251548.149
000040.SZ,2.62,2.65,2.6,2.61,0.0,0.0,35312.642
000042.SZ,8.72,8.78,8.58,8.62,-0.18,-2.0455,6796.484
000045.SZ,8.08,8.49,8.03,8.32,0.19,2.337,81028.082
000046.SZ,2.71,2.75,2.68,2.69,-0.04,-1.4652,27891.025
000048.SZ,27.76,27.77,27.07,27.28,-0.29,-1.0519,23613.474
000049.SZ,71.21,73.5,70.75,71.54,0.41,0.5764,342102.186
000050.SZ,14.16,14.45,14.05,14.25,0.1,0.7067,384094.152
000055.SZ,4.45,4.48,4.42,4.43,-0.01,-0.2252,11728.986
000056.SZ,3.07,3.59,3.07,3.47,0.06,1.7595,109219.318
000058.SZ,5.95,6.02,5.95,5.96,-0.07,-1.1609,15213.171
000059.SZ,6.24,6.32,6.2,6.25,0.02,0.321,147022.487
000060.SZ,4.71,4.88,4.69,4.76,0.07,1.4925,486498.273
000061.SZ,5.77,5.81,5.68,5.68,-0.1,-1.7301,30212.615
000062.SZ,13.35,14.18,13.01,14.04,1.05,8.0831,278757.056
000063.SZ,29.2,29.83,29.03,29.14,-0.05,-0.1713,1337860.385
000065.SZ,8.04,8.23,7.99,8.1,0.05,0.6211,109487.626
000066.SZ,12.37,12.92,12.31,12.5,0.12,0.9693,635080.203
000068.SZ,2.7,2.72,2.67,2.68,-0.02,-0.7407,14051.913
000069.SZ,9.34,9.8,9.25,9.49,0.13,1.3889,902789.987
000070.SZ,7.0,7.04,6.92,6.94,-0.04,-0.5731,39109.069
000078.SZ,3.34,3.49,3.33,3.4,0.13,3.9755,185276.306
000088.SZ,5.59,5.65,5.56,5.58,-0.02,-0.3571,27927.447
000089.SZ,8.53,8.68,8.42,8.52,-0.04,-0.4673,101406.035
000090.SZ,6.05,6.1,5.96,6.0,-0.05,-0.8264,75997.776
000096.SZ,9.5,9.64,9.47,9.58,0.15,1.5907,11415.186
000099.SZ,6.88,6.97,6.77,6.78,-0.09,-1.31,23372.73
000100.SZ,9.18,9.49,9.14,9.23,0.09,0.9847,4796609.202
000150.SZ,3.47,3.82,3.36,3.82,0.35,10.0865,527855.047
000151.SZ,7.44,7.55,7.41,7.49,0.02,0.2677,23138.133
