ts_code,open,high,low,close,change,pct_chg,amount
000909.SZ,7.06,7.12,7.01,7.07,0.03,0.4261,11162.128
000910.SZ,14.84,14.85,14.5,14.71,-0.13,-0.876,68070.606
000911.SZ,8.27,9.46,8.21,9.46,0.86,10.0,316321.367
000912.SZ,4.16,4.16,3.97,4.03,-0.1,-2.4213,43026.09
000913.SZ,23.41,23.75,23.2,23.52,-0.07,-0.2967,48579.384
000915.SZ,28.49,29.33,28.08,29.3,0.75,2.627,155115.874
000917.SZ,4.86,4.87,4.74,4.83,-0.04,-0.8214,51089.651
000918.SZ,6.67,6.8,6.55,6.73,0.02,0.2981,73671.818
000919.SZ,7.49,7.94,7.19,7.85,0.16,2.0806,276792.939
000920.SZ,6.5,6.53,6.38,6.53,0.0,0.0,32446.348
000921.SZ,16.81,17.27,16.74,17.0,0.04,0.2358,57023.022
000922.SZ,7.69,7.7,7.49,7.54,-0.16,-2.0779,48283.421
000923.SZ,22.9,22.9,22.05,22.42,-0.59,-2.5641,230906.909
000925.SZ,6.63,6.79,6.56,6.76,0.1,1.5015,29375.505
000926.SZ,4.65,4.66,4.61,4.63,-0.03,-0.6438,14888.8
000927.SZ,4.01,4.04,3.93,3.97,-0.04,-0.9975,29190.782
000928.SZ,9.28,9.67,8.34,9.26,0.26,2.8889,1312219.603
000929.SZ,8.58,8.62,8.1,8.15,-0.48,-5.562,105058.579
000930.SZ,9.37,9.5,9.26,9.49,0.11,1.1727,243950.759
000931.SZ,6.84,6.9,6.72,6.76,-0.08,-1.1696,15147.752
000932.SZ,8.58,8.63,8.07,8.22,-0.2,-2.3753,990243.156
000933.SZ,11.83,12.18,11.47,11.79,0.02,0.1699,907498.243
000935.SZ,13.16,13.25,12.91,13.01,-0.17,-1.2898,35196.008
000936.SZ,6.31,6.32,6.18,6.21,-0.12,-1.8957,53893.146
000937.SZ,3.92,3.94,3.77,3.84,-0.09,-2.2901,127365.59
000938.SZ,18.01,18.09,17.52,17.62,-0.48,-2.6519,406376.233
000948.SZ,10.38,10.74,10.35,10.58,0.14,1.341,92270.0
000949.SZ,4.65,4.69,4.45,4.66,0.03,0.6479,165067.046
000950.SZ,5.23,5.66,5.1,5.51,0.2,3.7665,247471.615
000951.SZ,34.53,34.53,33.7,34.1,-0.45,-1.3025,95029.036
000952.SZ,7.41,7.63,7.27,7.54,0.1,1.3441,26285.808
