ts_code,adj_factor
000776.SZ,5.606
000777.SZ,6.994
000778.SZ,13.363
000779.SZ,2.278
000780.SZ,4.901
000782.SZ,3.405
000783.SZ,5.531
000785.SZ,6.421
000786.SZ,10.616
000788.SZ,3.754
000789.SZ,5.845
000790.SZ,12.252
000791.SZ,3.831
000793.SZ,12.769
000795.SZ,4.284
000796.SZ,4.026
000797.SZ,6.63
000798.SZ,2.302
000799.SZ,2.029
000800.SZ,2.386
000801.SZ,14.458
000802.SZ,3.328
000803.SZ,3.005
000806.SZ,8.502
000807.SZ,6.803
000809.SZ,2.896
000810.SZ,5.326
000811.SZ,15.256
000812.SZ,7.386
000813.SZ,3.775
000815.SZ,3.446
000816.SZ,7.31
000818.SZ,2.07
000819.SZ,8.384
000820.SZ,1.925
000821.SZ,2.462
000822.SZ,2.405
000823.SZ,2.865
000825.SZ,7.276
000826.SZ,8.322
000828.SZ,3.69
000829.SZ,14.898
000830.SZ,6.799
000831.SZ,4.0
000833.SZ,1.656
000835.SZ,7.462
000836.SZ,8.029
000837.SZ,4.035
000838.SZ,13.037
000839.SZ,22.611
000848.SZ,25.369
000850.SZ,8.164
000851.SZ,2.397
000852.SZ,5.479
000856.SZ,1.878
000858.SZ,17.555
000859.SZ,3.675
000860.SZ,3.001
000861.SZ,18.698
000862.SZ,2.698
000863.SZ,6.055
000868.SZ,6.73
000869.SZ,4.645
000875.SZ,1.406
000876.SZ,18.163
000877.SZ,6.727
000878.SZ,2.792
000880.SZ,3.232
000881.SZ,4.951
000882.SZ,2.945
000883.SZ,5.382
000885.SZ,2.031
000886.SZ,3.021
000887.SZ,7.099
000888.SZ,6.303
000889.SZ,5.05
000890.SZ,3.602
000892.SZ,2.486
000893.SZ,2.035
000895.SZ,21.62
000897.SZ,5.945
000898.SZ,3.02
000899.SZ,3.549
000900.SZ,12.926
000901.SZ,6.518
000902.SZ,3.579
000903.SZ,11.88
000905.SZ,2.611
000906.SZ,4.65
000908.SZ,2.83
000909.SZ,2.124
000910.SZ,2.451
000911.SZ,1.889
000912.SZ,2.301
000913.SZ,2.724
000915.SZ,3.218
000917.SZ,7.9
000918.SZ,2.466
000919.SZ,3.685
000920.SZ,3.069
000921.SZ,1.358
000922.SZ,2.711
000923.SZ,1.655
000925.SZ,3.007
000926.SZ,3.467
000927.SZ,1.588
000928.SZ,2.163
000929.SZ,2.498
000930.SZ,5.713
000931.SZ,1.54
000932.SZ,2.156
000933.SZ,12.44
000935.SZ,3.083
000936.SZ,6.527
000937.SZ,7.731
000938.SZ,7.011
000948.SZ,2.519
000949.SZ,4.753
000950.SZ,2.362
000951.SZ,3.264
000952.SZ,2.528
000953.SZ,2.608
000955.SZ,2.46
000957.SZ,5.113
000958.SZ,4.471
000959.SZ,2.242
000960.SZ,3.384
000961.SZ,5.659
000962.SZ,3.362
000963.SZ,12.55
000965.SZ,2.84
000966.SZ,3.929
000967.SZ,5.123
000968.SZ,1.88
000969.SZ,6.743
000970.SZ,16.064
000971.SZ,3.789
000972.SZ,3.266
000973.SZ,3.843
000975.SZ,9.839
000976.SZ,3.673
000977.SZ,6.554
