ts_code,name,result_2020
000004.SZ,国华网安,-0.5
000005.SZ,世纪星源,-0.1942446043165466
000007.SZ,全新好,-0.5212636695018226
000008.SZ,神州高铁,-0.2670272458030483
000014.SZ,沙河股份,-0.015367102617808395
000016.SZ,深康佳A,-0.30243212442248313
000017.SZ,*ST中华A,-0.2605042016806722
000025.SZ,特力A,-0.18745293382063388
000031.SZ,大悦城,-0.28630113954085873
000034.SZ,神州数码,-0.3780745860198685
000035.SZ,中国天楹,-0.10064239828693784
000037.SZ,深南电A,-0.27185122983100496
000040.SZ,东旭蓝天,-0.2314540059347182
000042.SZ,中洲控股,-0.037937350708956576
000046.SZ,泛海控股,-0.3102645675161315
000058.SZ,深赛格,-0.022304465159091465
000061.SZ,农产品,-0.08246693971655175
000063.SZ,中兴通讯,-0.27221622790950456
000066.SZ,中国长城,-0.027577041870519542
000068.SZ,华控赛格,-0.13915857605177986
000070.SZ,特发信息,-0.3027658086935288
000078.SZ,海王生物,-0.2740899357601712
000096.SZ,广聚能源,-0.04438458286900065
000150.SZ,宜华健康,-0.249496981891348
000151.SZ,中成股份,-0.08915843245803215
000156.SZ,华数传媒,-0.08109849433492083
000158.SZ,常山北明,-0.40041710114702816
000401.SZ,冀东水泥,-0.28020791558812463
000410.SZ,*ST沈机,-0.2732673267326732
000413.SZ,东旭光电,-0.3878205128205129
000415.SZ,渤海租赁,-0.28719723183391
000502.SZ,绿景控股,-0.2411924119241192
000503.SZ,国新健康,-0.38252569750367105
000506.SZ,中润资源,-0.19767441860465124
000514.SZ,渝开发,-0.13255667506297242
000518.SZ,四环生物,-0.13664596273291932
000520.SZ,长航凤凰,-0.17941952506596306
000523.SZ,广州浪奇,-0.5848476151963022
000525.SZ,红太阳,-0.41442542787286063
000526.SZ,学大教育,-0.19819819819819817
000529.SZ,广弘控股,-0.005051715969346263
000530.SZ,冰山冷热,-0.00822055544248796
000537.SZ,广宇发展,-0.10246365505992477
000540.SZ,中天金融,-0.13580246913580263
000546.SZ,金圆股份,-0.1981088972168455
000553.SZ,安道麦A,-0.12651289408821653
000555.SZ,神州信息,-0.12605041353714225
000561.SZ,烽火电子,-0.00611620795107031
000563.SZ,陕国投A,-0.08308349592593181
000566.SZ,海南海药,-0.168187744458931
000567.SZ,海德股份,-0.017297297297297363
000571.SZ,*ST大洲,-0.1666666666666668
000585.SZ,*ST东电,-0.037735849056603835
000586.SZ,汇源通信,-0.4111842105263158
000590.SZ,启迪药业,-0.2323232323232325
000593.SZ,大通燃气,-0.02708333333333339
000595.SZ,*ST宝实,-0.26618705035971213
000597.SZ,东北制药,-0.04840218563605692
000601.SZ,韶能股份,-0.2121808342619019
000605.SZ,渤海股份,-0.07260192009573269
000606.SZ,顺利办,-0.323671497584541
000607.SZ,华媒控股,-0.05955334987593061
000608.SZ,阳光股份,-0.3162055335968379
000609.SZ,中迪投资,-0.2857142857142857
000611.SZ,ST天首,-0.21676300578034688
000617.SZ,中油资本,-0.07769792732861239
000620.SZ,新华联,-0.1423487544483985
000622.SZ,恒立实业,-0.18269230769230774
000627.SZ,天茂集团,-0.3254263800136868
000632.SZ,三木集团,-0.23042505592841162
000637.SZ,茂化实华,-0.0568736815646545
000652.SZ,泰达股份,-0.5376752027766507
000665.SZ,湖北广电,-0.30536736865409286
000666.SZ,经纬纺机,-0.17014017491980066
000667.SZ,美好置业,-0.3568904593639576
000669.SZ,*ST金鸿,-0.05907172995780601
000671.SZ,阳光城,-0.05171755851843998
000673.SZ,*ST当代,-0.30405405405405406
000676.SZ,智度股份,-0.20802272692141213
000677.SZ,恒天海龙,-0.1661442006269592
000678.SZ,襄阳轴承,-0.1464285714285714
000681.SZ,视觉中国,-0.16152553759268265
000682.SZ,东方电子,-0.19360000000000013
000686.SZ,东北证券,-0.012657943736445403
000687.SZ,*ST华讯,-0.5747422680412371
000688.SZ,国城矿业,-0.4551555826723612
000695.SZ,滨海能源,-0.287837837837838
000697.SZ,炼石航空,-0.21645021645021648
000700.SZ,模塑科技,-0.4174911990746225
000707.SZ,ST双环,-0.03249097472924164
000710.SZ,贝瑞基因,-0.1966073414905451
